humanReadable,scannable,aisle,bay,tier,position,pickPathModifier,img
W2 AA 51 C 1,W2AA51C1,AA,51,C,1,57,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 51 D 1,W2AA51D1,AA,51,D,1,58,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 52 A 1,W2AA52A1,AA,52,A,1,56,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 52 B 1,W2AA52B1,AA,52,B,1,57,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 52 C 1,W2AA52C1,AA,52,C,1,58,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 52 D 1,W2AA52D1,AA,52,D,1,59,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 53 A 1,W2AA53A1,AA,53,A,1,57,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 53 B 1,W2AA53B1,AA,53,B,1,58,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 53 C 1,W2AA53C1,AA,53,C,1,59,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 53 D 1,W2AA53D1,AA,53,D,1,60,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 54 A 1,W2AA54A1,AA,54,A,1,58,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 54 B 1,W2AA54B1,AA,54,B,1,59,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 54 C 1,W2AA54C1,AA,54,C,1,60,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 54 D 1,W2AA54D1,AA,54,D,1,61,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 55 A 1,W2AA55A1,AA,55,A,1,59,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 55 B 1,W2AA55B1,AA,55,B,1,60,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 55 C 1,W2AA55C1,AA,55,C,1,61,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 55 D 1,W2AA55D1,AA,55,D,1,62,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 56 A 1,W2AA56A1,AA,56,A,1,60,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 56 B 1,W2AA56B1,AA,56,B,1,61,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 56 C 1,W2AA56C1,AA,56,C,1,62,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 56 D 1,W2AA56D1,AA,56,D,1,63,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 57 A 1,W2AA57A1,AA,57,A,1,61,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 57 B 1,W2AA57B1,AA,57,B,1,62,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 57 C 1,W2AA57C1,AA,57,C,1,63,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 57 D 1,W2AA57D1,AA,57,D,1,64,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 58 A 1,W2AA58A1,AA,58,A,1,62,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 58 B 1,W2AA58B1,AA,58,B,1,63,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 58 C 1,W2AA58C1,AA,58,C,1,64,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 58 D 1,W2AA58D1,AA,58,D,1,65,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 59 A 1,W2AA59A1,AA,59,A,1,63,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 59 B 1,W2AA59B1,AA,59,B,1,64,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 59 C 1,W2AA59C1,AA,59,C,1,65,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 59 D 1,W2AA59D1,AA,59,D,1,66,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AB 13 A 1,W2AB13A1,AB,13,A,1,18,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AB 13 B 1,W2AB13B1,AB,13,B,1,19,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AB 13 C 1,W2AB13C1,AB,13,C,1,20,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AB 13 D 1,W2AB13D1,AB,13,D,1,21,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AB 14 A 1,W2AB14A1,AB,14,A,1,19,C:\Users\ironman\Desktop\svgtopng\A1.png
